Period,Category,Topic_ID,Intensity_in_Slice,Contextual_Keywords
2007_2014,cs.LG,2,0.32156690643858704,"learn, function, sample, distribution, bound, base, class, loss, linear, estimate"
2007_2014,cs.LG,3,0.10067398830268763,"learn, base, real, user, application, policy, make, prediction, agent, decision"
2007_2014,cs.LG,4,0.12263054371115437,"learn, base, label, graph, representation, train, large, classification, experiment, domain"
2007_2014,cs.LG,5,0.0826665373228655,"network, learn, base, image, neural, train, deep, neural network, classification, accuracy"
2015_2021,cs.AI,1,0.22126790407886437,"learn, base, machine, large, application, technique, solution, search, machine learn, number"
2015_2021,cs.AI,2,0.1034751223415397,"learn, function, base, sample, distribution, graph, adversarial, demonstrate, optimal, class"
2015_2021,cs.AI,3,0.3615818523603295,"learn, base, agent, human, policy, real, user, environment, knowledge, make"
2015_2021,cs.AI,4,0.16693078145893686,"learn, base, train, representation, domain, graph, knowledge, large, label, experiment"
2015_2021,cs.AI,5,0.14674433976032975,"network, neural, image, learn, deep, base, neural network, train, architecture, object"
2015_2021,cs.CL,1,0.10992169780385724,"learn, base, machine, large, train, experiment, technique, compare, accuracy, improve"
2015_2021,cs.CL,2,0.04879998241406175,"learn, base, sample, distribution, function, graph, experiment, demonstrate, adversarial, error"
2015_2021,cs.CL,3,0.13313560254702472,"learn, base, human, question, knowledge, user, make, level, domain, prediction"
2015_2021,cs.CL,4,0.5838114029726009,"base, learn, train, representation, domain, label, knowledge, sentence, speech, large"
2015_2021,cs.CL,5,0.1243313142624512,"network, neural, train, base, learn, neural network, deep, image, training, architecture"
2015_2021,cs.LG,1,0.2712396180860526,"learn, base, machine, machine learn, large, technique, accuracy, optimization, train, number"
2015_2021,cs.LG,2,0.207736299034842,"learn, function, sample, distribution, base, adversarial, gradient, loss, bound, graph"
2015_2021,cs.LG,3,0.15502511927479018,"learn, base, policy, real, agent, deep, prediction, make, user, application"
2015_2021,cs.LG,4,0.15124042187233247,"learn, base, train, graph, representation, label, domain, large, experiment, classification"
2015_2021,cs.LG,5,0.21475854173198655,"network, neural, neural network, learn, deep, image, train, base, training, architecture"
